,body,length
48,Public health measures From midnight 5 December 2007 the price of a pack of 20 cigarettes will increase by 30 cent (including VAT). Other tobacco products will also increase pro-rata from that date. A study is to be conducted into the public health benefits of a switch to lower alcohol beverages. Measures will be introduced in Budget 2009 in this area.,354
49,,0
50,"Stamp duty on residential property A new simplified system of stamp duty is introduced with effect from 5 December 2007. It will also apply to instruments executed in the 30 days before that date. The first €125,000 of a residential property transaction will be exempt from stamp duty. Properties over €125,000 but under €1 million will be charged stamp duty of 7% on the excess over €125,000. Properties over €1 million will be charged stamp duty of 9% on the excess over €1 million and 7% on the remainder between €125,000 and €1 million. Properties with a value of more than €125,000 but not exceeding €127,000 will not be liable for stamp duty The current exemptions for first-time buyers and buyers of new homes still apply. Clawback of stamp duty The exemption from stamp duty for first-time house buyers and buyers of certain new homes is currently clawed back if the purchaser rents out the home within 5 years of date of purchase. This clawback period is being reduced to 2 years for all deeds of transfer executed on or after 5 January 2007. For deeds of transfer executed before 5 December 2007, if that house or apartment is rented out on or after 5 December 2007, it will not involve a claw-back of relief where this happens in the third, fourth or fifth year of ownership. Mortgage interest relief From 1 January 2008 the annual ceiling on mortgage interest that can be allowed is being increased for first-time buyers from €8,000 to €10,000 for single people and from €16,000 to €20,000 for married people. The additional relief is available for the first 7 years of the entitlement to mortgage interest relief. Rent relief The maximum annual level of rent that can be claimed as tax relief is being increased for those aged under 55 to €2,000 for single people and €4,000 for widowed or married people. For those aged over 55 the levels are increased to €4,000 for single people and €8,000 for widowed or married people. Rent-a-Room relief The exemption limit from income tax under the Rent-a-Room scheme is to be increased from €7,600 to €10,000 Additional funding for housing €124 million for social housing, as part of NDP and Towards 2016     targets on 27,000 social housing starts in 2007-2009 €27 million for the Rental Accommodation Scheme to meet carryover and     new commitments in 2008, reflecting the transfer from the Department of     Social and Family Affairs of customers previously in receipt of     Supplementary Welfare Allowance €50 million for the Affordable Housing Scheme €25 million for the Capital Loans and Subsidy Scheme (Voluntary and     Co-operative Housing)",2605
51,"Primary schools An additional €95.2 million in capital funding is being allocated to the Primary School Building Programme to provide an additional 13,000 school places in rapidly developing and other areas. School transport costs Primary Schools Charges have increased for those who do not qualify for the free service to €36 per term from Easter 2008. Secondary schools The charge for Junior Certificate students increases to €46 and that for Leaving Certificate students to €71, both from Easter 2008. Special educational needs An additional €18 million to cover extra Special Needs Assistants and expansion of post-primary services. Back to Education The Cost of Education Allowance will increase by €100 to €500 per year and will be extended to Back to Education credit only cases (academic year 2008). Social inclusion €3 million in social inclusion measures providing 500 extra adult literacy places, 100 extra Youthreach places and 500 extra places under the Back to Education Initiative Educational disadvantage An additional €25 million in Dormants Accounts Funding to be used for measures aimed at tacking educational disadvantage Other funding Other additional funding includes: €23.3 million for non-pay costs and other services in schools €21 million for school transport €26 million for temporary accommodation in schools €2 million to extend the Schools Meals Scheme to more schools in the     Delivering Equality of Opportunity in Schools Initiative €12 million for research in third-level institutions to progress the     Strategy for Science, Technology and Innovation Back to School Allowance From June 2008 the Back to School Clothing and Footwear Allowance will increase by €20 to €200 for each child aged 2-11 years and by €20 for each child aged 12-22 years.",1782
52,"The employee tax credit is increased by €70 to €1830. PRSI The employee annual ceiling for PRSI contributions will increase from €48,800 to €50,700. The employee weekly PRSI threshold will increase from €339 to €352. Trade union dues The annual tax allowance at standard rate for trade union subscriptions is to be increased from €300 to €350. This is equivalent to a tax credit of €70 per year. Training Additional €7 million is allocated to the National Training Fund to support the National Skills Strategy focusing on upskilling the workforce. FÁS payments 2008",565
53,,0
54,From January 2008 the minimum payment for a Job Initiative participant will increase from €420.40 to €444.40.,109
55,€4 million for the Office of the Minister of State for Integration to support programmes addressing the needs of migrant communities,132
56,"Environment Motor tax From 1 February 2008, motor tax rates are being increased by 9.5% for cars below 2.5 litres and 11% for larger cars. Motor tax on goods and all other vehicles (except electric vehicles) will also increase by 9.5%. Fees for trade plate licences will also increase by 9.5%. These new rates apply to motor tax discs and trade licences taken out for periods on or after 1 February 2008. Motor tax for new and imported vehicles from July 2008 For new cars and pre-owned imports registered from 1 July 2008, motor tax charges will be determined on the basis of seven CO2 bands. Charges will range from €100 a year for the greenest cars to €2,000 for cars with the highest emissions ratings.",706
57,Existing cars will continue to be taxed on the current basis of engine size. CO2 emissions and Vehicle Registration Tax (VRT) Under a revised Vehicle Registration Tax (VRT) system the CO2 emissions of a car will replace engine size as the criterion to determine the VRT rate payable on the car at point of registration. Lower emission cars will attract reduced VRT rates and higher emission cars will be liable to higher rates. The VRT rates will continue to be applied to the Open Market Selling Price of the car. The revised VRT system will take effect on 1 July 2008.,570
58,"Hybrid electric vehicles and flexible fuel vehicles The existing 50% VRT relief scheme for series production hybrid electric vehicles and flexible fuel vehicles is being extended in its current form from 1 January 2008 until 30 June 2008, at which point the revised VRT scheme based on CO2 emissions will be implemented. From 1 July 2008 the relief for series production hybrid electric and flexible fuel cars will be adjusted to provide a relief of up to €2,500 on the VRT payable, in addition to the benefit of the new VRT CO2 emission related system. This relief will apply until 31 December 2010. Series production electric cars (i.e. cars which can be propelled solely by a rechargeable battery) and electric/battery-assisted bicycles are being exempted from VRT with effect from 1 January 2008. Car leasing A revised scheme of capital allowances and leasing expenses for cars used for business purposes is being introduced. Cars will be categorised by reference to CO2 emissions with the emissions bands being broadly consistent with the new VRT system, as follows: Cars with CO2 emission levels in Category A/B/C above will benefit from     capital allowances at the current car value threshold under the existing     scheme of €24,000, regardless of the cost of the car. Cars in Category     D/E will receive allowances of 50% of the current car value threshold or     50% of the cost of the car, if lower. Cars in Category F/G will not qualify     for capital allowances. As regards leasing expenses, cars in Category A/B/C will benefit from a     proportionately higher deduction than the actual leasing expenses where the     cost of the car is less than €24,000. Cars in Category D/E will get 50%     of the leasing expenses they would otherwise benefit from under the current     scheme. Cars in Category F/G will not qualify for a deduction for leasing     expenses. The revised scheme will come into effect in respect of cars purchased or leased on or after 1 July 2008. Lighting Minimum energy efficiency standards for lighting will be introduced from 2009. The standards will result in an effective ban on the sale of the most inefficient traditional light bulbs. Legislation will be prepared by the Department of the Environment next year setting a general energy efficiency standard of 25 lumens per watt. As part of preparation of the legislation, there will be consultation with all stakeholders to ensure the measures can be effectively implemented. Environmental protection There is an additional €13 million for the Environment Protection Agency (EPA) to go towards essential research and development and monitoring, the cost of construction of an extension to the EPA headquarters in Wexford and staffing. This brings the total allocation to over €39 million for 2008. There is an additional €8 million for National Heritage (National Parks and Wildlife) to go towards the management and consolidation of National Parks properties and the cost of monitoring and management programmes as required under the various EU Habitats and Birds Directives. There an additional €3 million for landfill remediation, bringing the total allocation to €13.5 million in 2008. An extra €4 million current funding is being provided for payments under the Salmon Hardship Scheme and €2.8 million current funding is being provided to Inland Fisheries Boards for their role in the implementation of the Water Framework Directive. A further €35 million has been allocated to meet increased demand under the Farm Waste Management Scheme, to facilitate compliance with environmental conditions and standards required by the EU Nitrates Directives. An additional €10 million is allocated for an enhanced fishing vessel decommissioning scheme, with a view to achieving a more appropriate balance between fishing capacity and stocks. The scheme involves a package of aid to encourage a reduction of some 35% in the Irish Whitefish Fleet, which is essential for the development of a sustainable seafood industry. An additional €18 million is being allocated for the Office of Public Works for flood relief projects in a number of locations throughout the country. Water services An additional €45 million will be invested in water services in 2008 to continue infrastructural support for social and economic development. Energy conservation Capital funding of €13 million will go towards energy conservation, for insulation, efficiency and building rating schemes and for a range of initiatives which will promote new technologies, increase awareness of energy efficiency and improve capacity to deliver in this area. There is an allocation of €7 million capital funding to energy research which will mainly fund measures to develop renewable energy from ocean sources. The VAT rate on the supply of elephant grass rhizomes, seeds, bulbs, roots and similar supplies used for the agricultural production of bio-fuels will be reduced from 21% to 13.5% with effect from 1 March 2008.",4978
59,"The main Budget changes which may affect people living in Ireland are set out below. This document sets out changes in the areas of social welfare, tax, health, transport, environment, housing, education, employment and other areas. For a full list of the Budget changes, please read the Department of Finance’s Summary of Budget Measures .",340
60,"General changes to personal payments The following payments increase by €6.50 per week: Jobseeker’s Benefit Jobseeker’s Allowance Supplementary Welfare Allowance One-Parent Family Payment Prisoner’s Wife’s Allowance Pre-Retirement Allowance Farm Assist Health and Safety Benefit Widow’s and Widower’s (Contributory) Pension (under 66) Widow’s and Widower’s (Non-Contributory) Pension Guardian’s Payment (Contributory) Guardian’s Payment (Non-Contributory) Deserted Wife’s Allowance Deserted Wife’s Benefit (under 66) This increase applies to the full-rate payment. There are proportional increases for people getting reduced payments (January 2009). Qualified adult increases Qualified adult rate (under 66) for State Pension (Contributory), State Pension (Transition) increases by up to €4.70 per week (January 2009). Qualified adult rate (over 66) for State Pension (Contributory), State Pension (Transition) and Invalidity Pension increases by up to €6.30 per week (January 2009). Qualified adult rate (under 66) for State Pension (Non-Contributory) increases by €4.60 (January 2009). Qualified adult rate for Invalidity Pension (under 66) increases by €4.60 per week. Qualified adult rate for the following payments increases by €4.30 per week: Jobseeker’s Benefit Jobseeker’s Allowance Supplementary Welfare Allowance Pre-Retirement Allowance Farm Assist Health and Safety Benefit Illness Benefit Disability Allowance Blind Pension Injury Benefit Incapacity Supplement This increase applies to the full-rate payment. There are proportional increases for people getting reduced payments. Upper ceiling for entitlement to a tapered qualified adult payment for Jobseeker’s Benefit and Health and Safety Benefit increases by €10 to €310 per week (January2009). Older people The maximum rates of the following pensions increase by €7 per week: State Pension (Contributory) State Pension (Transition) State Pension (Non-Contributory) Invalidity Pension (for people who are 65) Widow’s/Widower’s (Contributory) Pension (over 66) Death Benefit Pension (over 66) Deserted Wife’s Benefit (over 66) There are proportional increases for people getting reduced payments (January 2009). People with disabilities The following disability payments increase by €6.50 per week: Disablement Pension Illness Benefit Disability Allowance Blind Pension Injury Benefit Incapacity Supplement Invalidity Pension (for people under 65) This increase applies to the full-rate payment. There are proportional increases for people getting reduced payments (January 2009). Duration of the Illness Benefit scheme is limited to 2 years for new claimants who have 260 or more paid PRSI contributions (January 2009). Earnings limit for graduated rates of Illness Benefit increase from €150 to €300 per week in the relevant tax year for new claimants (January 2009). Carers Carer’s Allowance increases by €6.50 (under 66) and €7 (66 and over) per week. Half-rate Carer's Allowance increases by €3.25 (under 66) and €3.50 (66 and over) per week. This increase applies to the full-rate payment. There are proportional increases for people getting reduced payments. Carer’s Benefit and Constant Attendance Allowance increase by €6.50 per week (January 2009) Families and children There is no increase to Child Benefit. The rate payable to a child aged 18 is reduced to half the usual rate (January 2009). From 2010, Child Benefit will not be paid to a child aged 18. For certain low income families affected by the change in the Child Benefit for children aged 18, there will be a special separate compensatory payment of €15 per week for children aged 18 years. This compensatory measure will end on 31 December 2010. Early Childcare Supplement will be paid monthly instead of quarterly. The period for which children qualify will be reduced from 0-6 years to 0-5 years and 6 months. Increase for a Qualified Child is raised to €26 (€2 increase) per week (January 2009). All Family Income Supplement (FIS) income thresholds increase by €10 per week per child (January 2009). Increase in the additional income disregard by €50 per week from €100 to €150 for Back School Clothing and Footwear Allowance (June 2009). Further compensatory measures will be applied to the Back to School Clothing and Footwear Allowance scheme for children aged 18 years. These arrangements will apply until January 2011. Maternity and Adoptive Benefit Increase of €8.50 per week in the minimum rate of Maternity and Adoptive Benefit to €230.30 per week (January 2009). National Fuel Scheme The rate of the National Fuel Scheme will increase by €2 to €20 per week (January 2009). The duration of payment of the National Fuel Scheme will increase by 2 weeks to 32 weeks (April 2009). Jobseeker’s Benefit Jobseeker’s Benefit is reduced from 15 to 12 months for new claimants and people getting Jobseeker’s Benefit for less than 6 months on 14 October 2008 who also have at least 260 paid contributions. Jobseeker’s Benefit is reduced from 12 to 9 months for new claimants and people getting Jobseeker’s Benefit for less than 3 months on 14 October 2008 who also have at less than 260 paid contributions. Number of PRSI contributions required to claim Jobseeker’s Benefit is being increase from 52 to 104 (January 2009). New claimants must have a minimum number of 13 paid PRSI contributions in the Relevant Tax Year for Jobseeker’s Benefit (January 2009). Earnings limit for graduated rates of payment to increase from €150 to €300 per week in the relevant tax year for new claimants (January 2009). Health and Safety Benefit Earnings limit for graduated rates of payment to increase from €150 to €300 per week in the relevant tax year for new claimants of Health and Safety Benefit (January 2009). New claimants must have a minimum number of 13 paid PRSI contributions in the Relevant Tax Year (January 2009). Number of PRSI contributions required for Health and Safety Benefit is being increase from 52 to 104 (January 2009). PRSI Contributions Earnings ceiling for PRSI will increase by €1,300 from €50,700 to €52,000 (January 2009). Number of PRSI contributions required to claim Jobseeker’s Benefit, Illness Benefit, and Health and Safety Benefit is being increase from 52 to 104 (January 2009). Rent Supplement and Mortgage Interest Supplement Increase in the minimum contribution towards rent by €5 per week to €18 per week for Rent Supplement and Mortgage Interest Supplement (January 2009).",6441
61,,0
62,,0
63,,0
64,,0
65,,0
66,Citizens Information Board and Money Advice and Budgeting Service The Money Advice and Budgeting Service (MABS) is to be assigned to the Citizens Information Board.,164
67,"The standard rate tax band increases by €1,000 for a single person and €2,000 for a married couple",98
68,"*The tax band of €72,800 available to married couples with two incomes in 2009 is transferable between spouses up to a maximum of €45,400. Income levy A new income levy is being introduced. The rate of the levy is 1% on income up to €100,100 pa; 2% on income between €100,101 and €250,120 pa; 3% on income in excess of €250,120 pa. The levy is effective from 1 January 2009. The levy is paid on gross income, before deductions for capital allowances or contributions to pensions. You will pay the income levy unless: Your income is less than €18,304 a year You are aged over 65 and your annual income is less than €20,000 for a     single individual or €40,000 for a married couple You have a medical card Certain income is exempt from the income levy: all social welfare payments, including social welfare payments received     from abroad payments that are made in lieu of social welfare payments such as     Community Employment Schemes or Back to Education Allowance income subjected to DIRT PRSI The ceiling above which you do not have to pay PRSI is increased from €50,700 to €52,000.",1090
69,Tax Credits A summary of tax credits for 2009.,46
70,"Other income tax provisions Mortgage interest relief The rate of mortgage interest relief for first-time buyers is being increased from 20% to 25% in year 1 and year 2 and to 22.5% in years 3, 4 and 5. The additional relief will be available to new first-time buyers and first-time buyers who have bought a house in the last 4 years. These changes take effect from 1 January 2009. The rate of mortgage interest relief for non-first-time buyers is being reduced from 20% to 15% from 1 January 2009. Tax relief on unreimbursed medical expenses Tax relief on medical expenses will be granted at the standard rate only (20%) from 1 January 2009, with the exception of nursing home expenses which will be standard-rated from 1 January 2010. Levy on car parking facilities provided to employees by their employers A flat rate levy of €200 per year will be charged on employees whose employer provides them with car parking facilities. The levy only applies to employer-provided car parking facilities situated in the main urban centres. Cycle to work scheme From 1 January 2009, the provision of bicycles and associated safety equipment by employers to employees who agree to use the bicycles to cycle to work will be treated as a tax exempt benefit-in-kind. The exemption may only apply once in any 5 year period in respect of any employee. There will be a limit on the value of such purchases of €1,000 for each employee. The scheme may also be implemented through salary sacrifice arrangements, whereby an employee agrees to forgo part of their salary to cover the costs associated with the purchase of the bicycle and associated safety equipment. Where such salary sacrifice arrangements are implemented, they must be completed over a maximum period of 12 months. Increase in the specified rates for preferential home loans and other loans An employee in receipt of a preferential loan is charged income tax on the difference between the interest actually paid and the amount which would have been payable at the “specified” rates of interest for the loans. To reflect changes in interest rates, the specified rate in respect of loans (other than home loans which remain at 5.5%) is being increased from 13% to 15% from 1 January 2009. Tax relief for the donations of heritage items The tax relief in respect of the donation of heritage items to approved State institutions is being limited to 80% of the market value of the heritage item donated. The tax relief in respect of the donation of heritage property to the Irish Heritage Trust is being limited to 80% of the market value of the heritage property donated. The ceiling on the aggregate value of donations qualifying for each of these schemes in any one year will remain at €6 million. Change to Benefit-in-Kind (BIK) charge for company cars The Finance Bill will contain provisions to change the basis of the BIK charge on company cars to relate it to the CO2 emissions level of the car. VAT The standard rate of VAT will increase from 21 to 21.5% with effect from 1 December 2008. This increase will apply to all goods and services which are currently subject to VAT at 21 %. There is no change in the zero rate which applies to food, children’s clothes and footwear, oral medicines and several other products. The 13½% rate which applies to new houses, labour-intensive services, gas, electricity and home heating fuel also remains unchanged. Excise duties Increase in tax on petrol The mineral oil tax on petrol will be increased by 8 cent per litre (including VAT) with effect from midnight on 14 October 2008. Tobacco excise The Excise Duty on a packet of 20 cigarettes is being increased by 50 cent (including VAT) with a pro-rata increase on other tobacco products, with effect from midnight on 14 October 2008. Alcohol excise Excise duty on a standard bottle of wine is being increased by 50 cent (including VAT) with effect from midnight on 14 October 2008. Pro-rata increases are also being applied to other wine, and certain other fermented and intermediate products. A reduced rate of excise duty, at 50% of the full appropriate excise duty rate for beer and cider, will be introduced for low alcohol beer and cider (beer and cider products with an alcohol by volume content of 2.8% or less), with effect from midnight on 14 October 2008. Excise licences A range of alcohol-related licensing fees, including off-licences, but excluding pub licences, are being increased to €500 in each case. These increases will apply from the appropriate annual renewal dates in 2009. Betting duty The betting duty rate will be increased from 1% to 2% with effect from 1 January 2009. Air travel tax An air travel tax applying to all departures from Irish airports will come into force on Monday 30 March 2009. The general rate will be €10 per passenger with a lower rate of €2 for shorter air journeys (under 300 km). An indicative schedule listing the destinations from particular Irish airports to which the lower rate will apply is set out below. Other destinations from Irish airports in excess of 300 km will attract the €10 rate. The Finance Bill will provide that the tax will be payable by the appropriate airport authority to the Revenue Commissioners for passengers departing from Irish airports on and from 30 March 2009. In effect the airport authority will collect the tax from the airlines. The air travel tax will not apply to: passengers under 2 years disabled passengers and people assisting them aircraft with less than 20 passenger seats transit passengers members of the crew air services to and from Irish offshore islands aircraft departing airports that in the previous calendar year had less     than 10,000 departing passengers. Destinations to which the lower air travel tax of €2 will apply*",5774
71,"*This list is for illustrative purposes and only includes scheduled air services. Chartered flights will be subject to the air travel tax with the lower rate also applying to destinations no further than 300 km from the departure point. Taxation of farmers Farmer’s flat rate addition The farmer’s flat rate addition is being maintained at 5.2% for 2009. The flat rate is designed to reimburse non-VAT registered farmers for the VAT they incur on their inputs. Extension of stamp duty relief for young trained farmers Stamp duty relief is available for farmers acquiring land, who are aged under 35 and have specific agricultural training. The relief is due to terminate on 31 December 2008. This relief is now being extended for 4 years and the relief will apply in respect of instruments executed no later than 31 December 2012. Extension of stamp duty relief for farm consolidation Stamp duty relief is available to a farmer consolidating his/her holding. The relief is due to terminate on 30 June 2009 and this termination date will be extended to 30 June 2011. Farmers stock relief Provision is being made to renew the 25% general farming stock relief and the special 100% stock relief for Young Trained Farmers for a further 2 years to 31 December 2010. Farm pollution control relief Provision is being made to extend the 31 December 2008 deadline of the scheme of capital allowances for expenditure on certain pollution control measures relief to 31 December 2010. Stamp duty ATM and debit cards Changes are being made to the stamp duties that apply to ATM and debit cards.",1580
72,"The changes for ATM and Debit cards will take effect for the year ending 31 December 2008, the duty for which is normally collected from bank customers by financial institutions in early 2009. Bills of exchange (including cheques) The stamp duty rate on Bills of Exchange is being increased from 30 cent to 50 cent for Bills of Exchange drawn on, or after, 15 October 2008. In the case of cheques, the increase will apply to cheques supplied by financial institutions to customers on, or after, 15 October 2008. Capital Gains Tax Change in rate of Capital Gains Tax The rate of Capital Gains Tax (CGT) is being increased to 22% from 20% for disposals made from midnight on 14 October 2008. Change in payment dates The payment date for disposals in the period January to November is being changed to mid-December and the tax on disposals in December will now be due on the following 31 October (the existing pay and file date). Tax on savings Deposit Interest Retention Tax (DIRT) and taxes on life assurance policies and investment funds The rates of retention tax that apply to deposit interest and the rates of tax that apply to (a) life assurance policies and (b) investment funds, are being increased by 3 percentage points to 23% and 26% respectively. The increased rates will apply to payments, including deemed payments, made on or after 1 January 2009. Full details in relation to Deposit Interest Retention Tax will be included in the Finance Bill. Pensions Contribution limit The annual earnings limit for determining maximum tax-relievable contributions for pension purposes is being set at €150,000 for 2009 as compared with the 2008 limit of €275,239. Indexation of maximum allowable pension funds The adjustment, in line with an earnings index, of the maximum allowable thresholds for pension funds on retirement (the standard and personal fund thresholds) will not be made for 2009. Motor taxation New motor tax rates and fees for trade licence plates The Budget provides for increases in motor tax rates and fees for trade licence plates. The proposed increases are 4% for cars below 2.5 litres capacity and in CO2 emissions bands A to D, and 5% for cars above the 2.5 litre threshold and in CO2 emissions bands E, F and G. Goods vehicles and all other vehicles will also increase by 4%. There is no increase for electric vehicles. Trade plate licences will also increase by 4%. The new rates will apply to motor tax discs and trade plate licences taken out for periods beginning on or after 1 January 2009. Charge on non-principal private residences A charge will be introduced on all non-principal private residences. The charge will be levied and collected by local authorities, and will be used to support the provision of local services. The new charge will be set at €200 per dwelling, and will come into effect in 2009. It will be payable by the owners of private rented accommodation, holiday homes and other non-principal residences but will not be applied to new dwellings as yet unsold. Legislation will be needed to give effect to these arrangements. Further information on tax changes in Budget 2009 can be found on the Revenue website or through the Revenue freephone line 1800 314 414 (open 9:30am to 5:30pm, Wednesday 15 and Thursday 16 October).",3278
73,"Health Funding There will be a 2.1% increase in health spending in 2009. Gross expenditure for the Health and Children Group, which includes the Department of Health and Children, the Health Service Executive (HSE) and the Office of the Minister for Children and Youth Affairs is €16,335 million in 2009, an increase of €180.7 million. The underlying gross increase is €384.7 million when account is taken of the Long-term Care Repayment Scheme. Medical cards for over 70s New applications From 1 January 2009 new income thresholds will apply for medical cards for people aged 70 and over. (The existing arrangements continue to apply until the end of 2008.) New income thresholds will be €700 weekly gross for a single person (36,500 per year) and €1,400 a week (€73,000 a year) for a couple. It appears at present that there will be no deductions allowed as were outlined in previous announcements, for example, rent or mortgage or medical expenses. If one member of a couple is aged 70, they will both qualify for a medical card if their income is below €1,400 a week. Income from savings will be taken into account, but savings up to the first €36,000 (for a single person) and €72,000 (for a couple) are not counted. People over age 70 who already have a medical card The card will not expire on 31st December 2008, as stated in previous announcements. The HSE will write to all people aged 70 and over informing them about the new arrangements. Only people who have income above the limits will be asked to reply to the HSE. Everyone else will simply keep their card. People over these limits can still apply for medical cards on a hardship basis under the discretionary scheme. Fair Deal nursing home scheme €55 million is being provided to implement the Fair Deal scheme to provide a more equitable system of residential care for older people. Disability €10 million is being provided to fund 125 additional therapy posts in the disability and mental health services, targeted at children of schoolgoing age. Domiciliary Care Allowance Eligibility for the Domiciliary Care Allowance is being extended from 16 to 18 year-olds and the minimum age threshold for entitlement to Disability Allowance will be 18 years (for new claimants). Illness Benefit Entitlement to Illness Benefit for new claimants will be limited to 2 years. HSE payments",2346
74,The Blind Welfare Allowance rate for a couple is only applicable where both applicant and their partner/spouse are qualified.,125
75,"All payments effective from January 2009. Hospital and long stay charges Charges for private and semi-private beds in public hospitals will increase by 20%. The Accident and Emergency (A& E) charge is being increased from €66 to €100 for non-medical card holders who attend A& E departments without a letter from their GP, while the public hospital statutory in-patient charge is being increased from €66 to €75 per day. Long stay charges will increase by €33.25 a week for Class 1 and by €24.95 a week for Class 2. Drugs Payment Scheme The Drug Payment Scheme threshold is being increased from €90 to €100 per month which will lead to savings of €15 million in drug costs. Early Childcare Supplement The Early Childcare Supplement will be paid monthly instead of quarterly and eligibility is being changed to reduce the period for which children qualify for the payment from 0-6 years to 0-5 years and 6 months. Tax relief on unreimbursed medical expenses Tax relief for unreimbursed medical expenses, which are currently available at the full marginal rate of tax, will be reimbursed at the standard rate only (20%) from1 January 2009 with the exception of nursing home expenses which will be standard rated from 1 January 2010. Other health allocations The Cancer Control Programme is allocated €15 million. €33 million is being allocated to meet the full year cost of service developments commenced in 2008. The HSE will begin a new proposal to fast track the rollout of new GP practice units in collaboration with the private sector. The HSE will retain full control of the units. A range of administrative (€115 million) and other operational efficiencies (€270 million) will be made in the HSE and agencies, to release resources for allocation to key frontline health and personal social services in 2009. The Cancer Control Programme is allocated €15 million and €33 million is being allocated to meet the full year cost of service developments commenced in 2008. Programme of redundancies in the HSE A targeted voluntary early retirement scheme will be introduced for the HSE. This will initially be targeted at surplus middle management and administrative staff, but may be extended to other surplus staff. Discussions are underway on the development of such a scheme. Transport Motor tax The Budget provides for increases in motor tax rates and fees for trade licence plates. The proposed increases are 4% for cars below 2.5 litres capacity and in CO2 emissions bands A to D, and 5% for cars above the 2.5 litre threshold and in CO2 emissions bands E, F and G. Goods vehicles and all other vehicles will also increase by 4%. There is no increase for electric vehicles. Trade plate licences will also increase by 4%. The new rates will apply to motor tax discs and trade plate licences taken out for periods beginning on or after 1 January 2009.",2855
76,*effective from 1 January 2009,30
77,"*effective from 1 January 2009 Other changes affecting motoring The Finance Bill will contain provisions to change the basis of the Benefit-in-Kind (BIK) charge on company cars to relate the charge to the level of CO2 emissions. The excise duty on petrol will rise by 8 cents a litre from midnight on 14 October 2008. There will be a new flat-rate levy of €200 per year on employees whose employer provides them with car parking facilities in major urban areas. Air travel tax An air travel tax applying to all departures from Irish airports will come into force on Monday 30 March 2009. The general rate will be €10 per passenger. A lower rate of €2 will apply for air journeys under 300 km. An indicative schedule listing the destinations from particular Irish airports to which the lower rate will apply is set out below. Other destinations from Irish airports in excess of 300km will attract the €10 rate. The Finance Bill will provide that the tax will be payable by the appropriate airport authority to the Revenue Commissioners for passengers departing from Irish airports on and from 30 March 2009. In effect the airport authority will collect the tax from the airlines. The air travel tax will not apply to: passengers under two years passengers with disabilities and people assisting them aircraft with less than 20 passenger seats transit passengers crew members air services to and from Irish offshore islands aircraft departing airports that had fewer than 10,000 departing     passengers in the previous calendar year.",1532
78,"*This list is for illustrative purposes and only includes scheduled air services. Chartered flights will be subject to the air travel tax, with the lower rate also applying to destinations no further than 300 km from the departure point.",237
